userID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,time,ip
2,1,2,1,4,4,1,4,2,2,3,4,3,4,1,2,1,3,2,2,3,1,5,5,2,1,5,1,4,4,1,1,1,4,5,4,4,5,5,1,1,2018-05-02 13:08:52,130.75.87.30
7,3,1,1,4,4,2,2,2,2,4,4,1,3,1,4,1,3,2,4,4,1,4,5,3,2,5,2,1,4,1,1,2,1,5,1,5,5,5,1,1,2018-05-02 13:09:47,130.75.87.30
4,1,2,2,4,3,1,3,2,2,3,4,1,3,4,1,4,3,4,2,4,1,3,2,1,3,2,2,2,2,2,2,3,3,2,2,1,5,5,2,2,2018-05-02 13:11:38,130.75.87.30
3,2,2,2,2,4,1,4,2,2,1,4,1,4,1,2,4,3,2,2,1,1,5,1,1,1,1,1,1,1,1,1,2,1,1,1,3,5,3,3,3,2018-05-02 13:11:41,130.75.87.30
5,3,2,1,4,3,2,4,2,2,4,1,4,4,1,2,1,3,2,2,1,1,5,5,2,2,2,2,3,1,1,2,1,2,5,4,5,5,5,3,2,2018-05-02 13:17:46,130.75.87.30
8,3,3,1,4,4,1,3,1,1,4,4,4,1,1,2,1,3,4,2,3,1,5,3,1,1,2,1,5,1,1,1,1,1,3,4,4,5,5,5,5,2018-05-02 13:18:14,130.75.87.30
6,1,1,1,3,4,1,4,2,2,1,4,1,3,1,2,1,3,4,4,2,1,2,3,3,2,2,1,2,2,1,1,2,1,3,1,2,5,3,2,1,2018-05-02 15:02:36,130.75.87.30
11,1,2,1,4,1,1,4,2,1,1,4,1,4,1,2,4,3,2,1,1,1,5,5,1,2,5,1,1,3,1,5,5,2,5,3,4,5,4,1,1,2018-05-02 15:04:33,130.75.87.30
12,1,2,1,1,3,3,3,4,2,4,1,4,1,4,2,4,3,4,3,3,1,5,1,1,1,3,1,1,5,1,2,1,2,1,1,1,5,2,1,1,2018-05-02 15:14:53,130.75.87.30
9,3,2,2,2,4,1,4,4,3,4,4,1,1,1,2,4,3,4,4,1,2,4,1,2,2,3,4,2,2,3,2,3,3,5,4,3,5,3,3,5,2018-05-03 09:07:31,130.75.87.30
13,3,2,1,4,4,2,4,2,2,4,3,3,4,2,2,1,3,2,1,3,3,5,5,3,3,4,3,4,5,2,2,2,2,4,3,5,5,5,5,4,2018-05-03 09:13:51,130.75.87.30
17,3,2,1,2,1,2,4,2,2,2,3,1,4,1,2,4,3,4,1,3,1,5,5,3,1,1,1,1,5,1,1,5,1,1,5,5,5,5,3,1,2018-05-03 11:17:22,130.75.87.30
14,3,2,1,4,4,3,3,2,2,4,4,1,4,2,2,4,3,2,4,1,1,5,3,3,2,2,1,1,1,1,3,2,2,3,2,4,5,3,4,3,2018-05-03 11:17:41,130.75.87.30
1,1,1,3,2,4,1,3,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2018-05-03 11:26:30,130.75.87.30
16,1,2,1,4,1,1,3,1,1,3,4,1,2,2,2,1,3,2,2,2,1,3,5,2,2,4,1,2,1,1,2,1,1,1,2,1,5,5,1,1,2018-05-03 11:29:32,130.75.87.30
18,3,2,2,4,1,1,4,2,2,4,4,1,4,1,4,4,3,4,3,3,2,3,1,3,2,4,2,1,2,1,4,4,3,5,3,2,5,3,2,1,2018-05-03 12:59:02,130.75.87.30
20,3,2,1,2,3,2,3,2,2,3,4,1,3,1,4,1,3,2,2,1,1,4,3,2,2,5,2,4,4,5,5,3,1,4,2,2,5,5,2,2,2018-05-03 17:10:10,130.75.87.30
21,3,2,4,2,2,1,4,1,2,2,4,3,3,1,2,4,3,4,2,3,1,5,3,4,1,5,1,1,3,3,1,1,3,3,3,3,5,1,5,3,2018-05-04 09:01:16,130.75.87.30
23,4,2,2,1,1,2,4,2,2,4,1,1,2,1,1,1,1,4,1,3,1,3,2,1,1,2,1,3,3,2,1,1,1,2,2,3,2,3,1,1,2018-05-04 09:06:02,130.75.87.30
24,4,2,1,2,1,1,3,3,2,2,1,1,4,2,4,4,3,2,1,1,1,4,1,1,2,1,2,1,2,1,1,2,1,1,1,3,2,2,3,2,2018-05-04 09:07:27,130.75.87.30
